"reldenom","egender","ks2aps","region","instype","totpups","ofstedgrade"
"Non-religious","Mixed",26.9,"South West","Academy",1334,"Good"
"Religious","Mixed",26.1,"South West","Foundation",439,"Requires Improvement"
"Non-religious","Mixed",27.9,"South West","Foundation",671,"Good"
"Non-religious","Mixed",28.1,"South West","Community",880,"Outstanding"
"Non-religious","Mixed",28.1,"South West","Academy",1145,"Good"
"Non-religious","Mixed",4.1,"South West","Community",89,"Outstanding"
"Non-religious","Mixed",4.3,"South West","Community",95,"Good"
"Non-religious","Mixed",NA,"South West","Foundation",79,"Good"
"Non-religious","Mixed",12.1,"South West","Academy",104,"Good"
"Non-religious","Mixed",NA,"South West","Other",13,"Inadequate"
"Religious","Mixed",27.5,"North West","Academy",530,"Requires Improvement"
"Non-religious","Mixed",25.5,"North West","Community",142,"Inadequate"
"Religious","Mixed",27.8,"North West","Academy",1065,"Good"
"Religious","Mixed",26.7,"North West","Academy",320,"Good"
"Non-religious","Mixed",28.5,"North West","Community",1356,"Good"
"Religious","Mixed",28.9,"North West","Academy",913,"Good"
"Non-religious","Mixed",28.3,"North West","Community",1028,"Good"
"Non-religious","Mixed",27.4,"North West","Academy",838,"Requires Improvement"
"Non-religious","Mixed",27.3,"North West","Community",155,"Good"
"Religious","Mixed",29.1,"North West","Academy",1170,"Outstanding"
"Religious","Mixed",27.7,"North West","Academy",872,"Good"
"Religious","Mixed",27,"North West","Academy",354,"Good"
"Non-religious","Mixed",27.4,"North West","Community",540,"Requires Improvement"
"Non-religious","Mixed",27.5,"North West","Community",473,"Good"
"Religious","Mixed",27.5,"North West","Voluntary",1329,"Outstanding"
"Non-religious","Mixed",26.1,"North West","Foundation",621,"Requires Improvement"
"Religious","Mixed",26,"North West","Voluntary",613,"Requires Improvement"
"Religious","Mixed",31.9,"North West","Academy",841,"Outstanding"
"Religious","Mixed",29.2,"North West","Academy",1400,"Outstanding"
"Religious","Mixed",28.2,"North West","Academy",1360,"Outstanding"
"Non-religious","Mixed",26.4,"North West","Academy",769,"Requires Improvement"
"Non-religious","Mixed",27.2,"North West","Academy",528,"Inadequate"
"Religious","Mixed",27.8,"North West","Voluntary",1046,"Good"
"Religious","Mixed",28.1,"North West","Voluntary",910,"Good"
"Religious","Mixed",26.8,"North West","Voluntary",665,"Requires Improvement"
"Religious","Mixed",28.1,"North West","Foundation",100,"Requires Improvement"
"Non-religious","Mixed",26.1,"North West","Academy",167,"Good"
"Non-religious","Mixed",25.6,"North West","Community",139,"Requires Improvement"
"Non-religious","Mixed",25.2,"North West","Community",373,"Requires Improvement"
"Non-religious","Mixed",27.1,"North West","Community",626,"Requires Improvement"
"Religious","Mixed",28.5,"North West","Academy",1559,"Good"
"Religious","Mixed",26.6,"North West","Foundation",1373,"Good"
"Non-religious","Mixed",28.4,"North West","Community",1262,"Good"
"Non-religious","Mixed",27.5,"North West","Academy",1063,"Good"
"Religious","Mixed",28.5,"North West","Academy",1490,"Good"
"Non-religious","Mixed",9.2,"North West","Foundation",74,"Inadequate"
"Non-religious","Mixed",8.5,"North West","Community",141,"Outstanding"
"Non-religious","Mixed",5,"North West","Community",123,"Outstanding"
"Non-religious","Mixed",9,"North West","Community",70,"Good"
"Non-religious","Mixed",NA,"North West","Community",65,"Good"
"Religious","Mixed",25.8,"South West","Academy",955,"Good"
"Non-religious","Mixed",27.4,"South West","Community",1170,"Good"
"Religious","Mixed",28.8,"South West","Academy",1354,"Outstanding"
"Religious","Single-sex",26.9,"South West","Foundation",594,"Good"
"Religious","Mixed",28.2,"South West","Academy",1677,"Good"
"Religious","Mixed",27.8,"South West","Academy",1243,"Good"
"Religious","Mixed",28.4,"South West","Academy",1412,"Good"
"Religious","Mixed",26.3,"South West","Academy",1268,"Good"
"Religious","Mixed",27.2,"South West","Academy",977,"Good"
"Religious","Mixed",28.3,"South West","Academy",824,"Good"
"Religious","Mixed",28.2,"South West","Academy",1541,"Good"
"Religious","Mixed",28.9,"South West","Academy",1259,"Outstanding"
"Religious","Single-sex",31.5,"South West","Academy",876,"Outstanding"
"Religious","Mixed",27.1,"South West","Academy",761,"Outstanding"
"Religious","Mixed",28.6,"South West","Academy",955,"Good"
"Religious","Mixed",25.5,"South West","Academy",328,"Inadequate"
"Non-religious","Mixed",25.7,"South West","Academy",841,"Inadequate"
"Religious","Single-sex",32.2,"South West","Academy",816,"Outstanding"
"Religious","Mixed",29.1,"South West","Academy",1451,"Good"
"Religious","Mixed",26.9,"South West","Foundation",622,"Requires Improvement"
"Religious","Mixed",25.9,"South West","Foundation",492,"Requires Improvement"
"Religious","Single-sex",31.6,"South West","Academy",857,"Outstanding"
"Religious","Mixed",26.9,"South West","Academy",527,"Requires Improvement"
"Religious","Mixed",27.6,"South West","Academy",1037,"Good"
"Religious","Mixed",33.2,"South West","Academy",1034,"Outstanding"
"Religious","Mixed",25.1,"South West","Foundation",559,"Requires Improvement"
"Religious","Mixed",27.7,"South West","Foundation",1274,"Good"
"Religious","Single-sex",31.6,"South West","Academy",847,"Good"
"Religious","Mixed",28,"South West","Academy",1573,"Good"
"Non-religious","Mixed",27.5,"South West","Academy",1175,"Good"
"Non-religious","Single-sex",32.3,"South West","Academy",933,"Outstanding"
"Religious","Mixed",27,"South West","Academy",415,"Requires Improvement"
"Religious","Single-sex",32.2,"South West","Academy",876,"Outstanding"
"Religious","Mixed",28.1,"South West","Academy",1404,"Requires Improvement"
"Religious","Mixed",27,"South West","Academy",676,"Good"
"Religious","Mixed",28,"South West","Academy",477,"Good"
"Religious","Mixed",27.5,"South West","Academy",974,"Good"
"Non-religious","Mixed",11.6,"South West","Community",115,"Outstanding"
"Non-religious","Mixed",12.3,"South West","Community",107,"Outstanding"
"Non-religious","Mixed",4.3,"South West","Community",122,"Outstanding"
"Non-religious","Mixed",18,"South West","Community",35,"Good"
"Religious","Mixed",19.4,"South West","Academy",31,"Good"
"Non-religious","Mixed",NA,"South West","Community",100,"Good"
"Non-religious","Mixed",6,"South West","Community",309,"Outstanding"
"Non-religious","Mixed",NA,"South West","Community",49,"Good"
"Religious","Single-sex",24,"South West","Academy",24,"Good"
"Non-religious","Mixed",NA,"South West","Other",35,"Good"
"Non-religious","Mixed",4.7,"South West","Community",115,"Good"
"Non-religious","Mixed",26.3,"East of England","Community",657,"Requires Improvement"
"Religious","Mixed",28.9,"East of England","Foundation",1152,"Good"
"Non-religious","Mixed",26.5,"East of England","Community",434,"Requires Improvement"
"Non-religious","Mixed",27.1,"East of England","Community",952,"Requires Improvement"
"Non-religious","Mixed",27.4,"East of England","Community",1255,"Requires Improvement"
"Non-religious","Mixed",30.1,"East of England","Academy",1217,"Outstanding"
"Religious","Mixed",28.2,"East of England","Academy",1381,"Requires Improvement"
"Non-religious","Single-sex",29.1,"East of England","Academy",690,"Good"
"Religious","Single-sex",29.7,"East of England","Foundation",1121,"Good"
"Religious","Mixed",29.6,"East of England","Academy",1248,"Good"
"Non-religious","Mixed",26,"East of England","Academy",927,"Good"
"Religious","Mixed",28.6,"East of England","Academy",1024,"Good"
"Non-religious","Mixed",26.8,"East of England","Community",932,"Requires Improvement"
"Religious","Mixed",28.7,"East of England","Foundation",1078,"Good"
"Religious","Mixed",27.5,"East of England","Academy",1028,"Good"
"Religious","Mixed",27,"East of England","Foundation",475,"Requires Improvement"
"Religious","Mixed",26,"East of England","Other",169,"Good"
"Non-religious","Mixed",26.9,"East of England","Other",300,"Good"
"Religious","Mixed",31.5,"East of England","Academy",1463,"Outstanding"
"Non-religious","Mixed",26.3,"East of England","Other",413,"Requires Improvement"
"Non-religious","Mixed",26.4,"East of England","Community",567,"Good"
"Non-religious","Mixed",25.9,"East of England","Academy",1126,"Requires Improvement"
"Religious","Mixed",27.7,"East of England","Academy",884,"Good"
"Religious","Mixed",28.3,"East of England","Academy",1285,"Good"
"Non-religious","Mixed",28.9,"East of England","Community",1128,"Good"
"Religious","Single-sex",30.1,"East of England","Academy",1152,"Outstanding"
"Non-religious","Mixed",27.6,"East of England","Academy",1299,"Good"
"Non-religious","Mixed",26.7,"East of England","Community",1007,"Good"
"Non-religious","Single-sex",29.6,"East of England","Academy",1040,"Good"
"Non-religious","Single-sex",30.3,"East of England","Academy",1077,"Outstanding"
"Religious","Mixed",30.8,"East of England","Academy",861,"Outstanding"
"Religious","Mixed",28.7,"East of England","Voluntary",1099,"Good"
"Religious","Mixed",29.6,"East of England","Academy",1570,"Good"
"Religious","Mixed",27.9,"East of England","Academy",1242,"Good"
"Non-religious","Mixed",27.7,"East of England","Academy",1078,"Good"
"Non-religious","Mixed",28.1,"East of England","Academy",1256,"Good"
"Religious","Mixed",28.6,"East of England","Academy",1168,"Outstanding"
"Non-religious","Mixed",27.4,"East of England","Academy",1134,"Good"
"Religious","Single-sex",29.4,"East of England","Academy",933,"Outstanding"
"Religious","Mixed",27.2,"East of England","Academy",1128,"Good"
"Non-religious","Mixed",26.5,"East of England","Community",860,"Requires Improvement"
"Non-religious","Mixed",26.4,"East of England","Academy",477,"Good"
"Religious","Mixed",28.2,"East of England","Academy",1309,"Good"
"Religious","Mixed",27.6,"East of England","Academy",858,"Requires Improvement"
"Religious","Mixed",27.5,"East of England","Academy",624,"Requires Improvement"
"Non-religious","Mixed",28.4,"East of England","Community",1378,"Good"
"Non-religious","Mixed",26.6,"East of England","Academy",554,"Good"
"Religious","Mixed",31.1,"East of England","Academy",1362,"Outstanding"
"Non-religious","Single-sex",30.3,"East of England","Academy",1071,"Outstanding"
"Non-religious","Mixed",28.4,"East of England","Community",1031,"Good"
"Religious","Mixed",29.8,"East of England","Academy",1702,"Good"
"Religious","Mixed",NA,"East of England","Academy",141,"Good"
"Religious","Single-sex",29.2,"East of England","Academy",1119,"Good"
"Religious","Mixed",29.6,"East of England","Academy",1216,"Good"
"Religious","Mixed",29.9,"East of England","Academy",1257,"Outstanding"
"Non-religious","Single-sex",29.7,"East of England","Academy",1199,"Outstanding"
"Religious","Mixed",29.5,"East of England","Academy",1373,"Outstanding"
"Religious","Mixed",29.8,"East of England","Academy",1322,"Outstanding"
"Religious","Mixed",28.6,"East of England","Academy",1233,"Good"
"Religious","Mixed",29.2,"East of England","Voluntary",928,"Outstanding"
"Religious","Mixed",27,"East of England","Academy",1011,"Good"
"Religious","Mixed",28.5,"East of England","Academy",1113,"Outstanding"
"Religious","Mixed",26.1,"East of England","Academy",584,"Requires Improvement"
"Non-religious","Mixed",30,"East of England","Academy",1236,"Outstanding"
"Non-religious","Mixed",26.7,"East of England","Academy",418,"Good"
"Non-religious","Mixed",27.1,"East of England","Community",657,"Inadequate"
"Non-religious","Mixed",28.4,"East of England","Academy",1049,"Good"
"Non-religious","Mixed",26.5,"East of England","Community",656,"Requires Improvement"
"Religious","Mixed",29.5,"East of England","Academy",1236,"Outstanding"
"Non-religious","Mixed",27.6,"East of England","Academy",1088,"Good"
"Non-religious","Mixed",27.4,"East of England","Academy",650,"Good"
"Religious","Mixed",27.5,"East of England","Voluntary",594,"Good"
"Religious","Mixed",28.2,"East of England","Academy",1473,"Good"
"Non-religious","Mixed",26.9,"East of England","Community",984,"Requires Improvement"
"Non-religious","Single-sex",28.3,"East of England","Academy",1112,"Good"
"Religious","Single-sex",30.8,"East of England","Academy",1313,"Outstanding"
"Religious","Single-sex",30.8,"East of England","Academy",1297,"Outstanding"
"Non-religious","Mixed",25.3,"East of England","Academy",958,"Good"
"Religious","Mixed",29.3,"East of England","Academy",917,"Outstanding"
"Non-religious","Mixed",4,"East of England","Community",127,"Outstanding"
"Non-religious","Mixed",18.2,"East of England","Community",69,"Outstanding"
"Non-religious","Single-sex",21.4,"East of England","Community",40,"Good"
"Non-religious","Mixed",10.8,"East of England","Community",120,"Good"
"Non-religious","Single-sex",22.6,"East of England","Community",70,"Requires Improvement"
"Non-religious","Mixed",12.1,"East of England","Community",112,"Good"
"Non-religious","Mixed",3,"East of England","Community",128,"Good"
"Non-religious","Single-sex",21,"East of England","Foundation",66,"Good"
"Non-religious","Mixed",17.3,"East of England","Community",101,"Good"
"Non-religious","Mixed",NA,"East of England","Academy",36,"Outstanding"
"Non-religious","Mixed",NA,"East of England","Community",65,"Outstanding"
"Non-religious","Mixed",11.6,"East of England","Community",92,"Inadequate"
"Non-religious","Mixed",13,"East of England","Academy",154,"Good"
"Non-religious","Mixed",NA,"East of England","Other",36,"Good"
"Non-religious","Mixed",11.8,"East of England","Foundation",89,"Good"
"Non-religious","Mixed",12.3,"East of England","Community",104,"Good"
"Non-religious","Mixed",4.7,"East of England","Community",86,"Requires Improvement"
"Non-religious","Mixed",NA,"East of England","Community",66,"Good"
"Religious","Mixed",26.7,"South East","Foundation",1065,"Requires Improvement"
"Religious","Mixed",27,"South East","Voluntary",1375,"Good"
"Religious","Mixed",26.2,"South East","Foundation",1375,"Requires Improvement"
"Non-religious","Mixed",26.5,"South East","Academy",995,"Requires Improvement"
"Non-religious","Mixed",26.5,"South East","Academy",1396,"Requires Improvement"
"Non-religious","Mixed",NA,"South East","Other",47,"Good"
"Non-religious","Mixed",8,"South East","Community",145,"Good"
"Religious","Mixed",25.8,"East Midlands","Foundation",267,"Inadequate"
"Religious","Single-sex",30.6,"East Midlands","Academy",562,"Good"
"Religious","Single-sex",31,"East Midlands","Academy",715,"Good"
"Non-religious","Mixed",26.9,"East Midlands","Academy",1244,"Good"
"Religious","Mixed",31.5,"East Midlands","Academy",1207,"Outstanding"
"Religious","Mixed",27.5,"East Midlands","Academy",1079,"Requires Improvement"
"Religious","Mixed",32.3,"East Midlands","Academy",664,"Outstanding"
"Non-religious","Mixed",27.2,"East Midlands","Academy",399,"Requires Improvement"
"Religious","Single-sex",31.5,"East Midlands","Academy",815,"Good"
"Non-religious","Mixed",25,"East Midlands","Academy",160,"Requires Improvement"
"Religious","Mixed",27.3,"East Midlands","Foundation",343,"Inadequate"
"Religious","Mixed",26.2,"East Midlands","Academy",573,"Requires Improvement"
"Religious","Mixed",27.5,"East Midlands","Academy",912,"Good"
"Non-religious","Mixed",27.5,"East Midlands","Academy",1538,"Outstanding"
"Non-religious","Mixed",26.7,"East Midlands","Academy",796,"Requires Improvement"
"Religious","Mixed",26.9,"East Midlands","Academy",934,"Good"
"Non-religious","Mixed",24.8,"East Midlands","Academy",1023,"Good"
"Religious","Mixed",25.8,"East Midlands","Academy",507,"Good"
"Non-religious","Single-sex",31.5,"East Midlands","Academy",1198,"Outstanding"
"Non-religious","Single-sex",31.7,"East Midlands","Academy",769,"Good"
"Religious","Mixed",25,"East Midlands","Academy",375,"Good"
"Religious","Mixed",30.9,"East Midlands","Foundation",842,"Outstanding"
"Religious","Single-sex",31.6,"East Midlands","Academy",1039,"Outstanding"
"Religious","Mixed",26.3,"East Midlands","Academy",787,"Good"
"Religious","Mixed",26.6,"East Midlands","Academy",1372,"Good"
"Religious","Mixed",25.8,"East Midlands","Foundation",795,"Requires Improvement"
"Religious","Mixed",27.6,"East Midlands","Academy",1317,"Good"
"Religious","Mixed",25.6,"East Midlands","Foundation",691,"Requires Improvement"
"Non-religious","Mixed",30.8,"East Midlands","Academy",1881,"Outstanding"
"Non-religious","Mixed",27.2,"East Midlands","Academy",779,"Requires Improvement"
"Non-religious","Mixed",25.9,"East Midlands","Academy",1079,"Good"
"Non-religious","Mixed",25.5,"East Midlands","Academy",1003,"Requires Improvement"
"Religious","Mixed",31.1,"East Midlands","Academy",574,"Outstanding"
"Religious","Mixed",31.5,"East Midlands","Academy",788,"Outstanding"
"Non-religious","Mixed",31.8,"East Midlands","Community",1233,"Outstanding"
"Non-religious","Mixed",27.3,"East Midlands","Academy",2220,"Good"
"Religious","Mixed",26.5,"East Midlands","Academy",556,"Requires Improvement"
"Religious","Mixed",25.5,"East Midlands","Academy",1332,"Inadequate"
"Religious","Mixed",28.1,"East Midlands","Academy",1200,"Requires Improvement"
"Religious","Mixed",27.1,"East Midlands","Academy",738,"Good"
"Non-religious","Mixed",25,"East Midlands","Academy",1170,"Good"
"Religious","Mixed",30.7,"East Midlands","Academy",563,"Good"
"Religious","Single-sex",31.2,"East Midlands","Academy",989,"Outstanding"
"Non-religious","Single-sex",31,"East Midlands","Community",958,"Outstanding"
"Non-religious","Mixed",25.8,"East Midlands","Academy",352,"Requires Improvement"
"Religious","Mixed",26.7,"East Midlands","Academy",647,"Good"
"Non-religious","Mixed",25.4,"East Midlands","Academy",1165,"Good"
"Religious","Single-sex",27,"East Midlands","Academy",763,"Good"
"Religious","Mixed",24.5,"East Midlands","Academy",489,"Good"
"Religious","Mixed",28.2,"East Midlands","Academy",1477,"Outstanding"
"Religious","Mixed",26.8,"East Midlands","Academy",413,"Good"
"Non-religious","Mixed",16.9,"East Midlands","Academy",122,"Outstanding"
"Non-religious","Mixed",NA,"East Midlands","Academy",58,"Outstanding"
"Non-religious","Mixed",NA,"East Midlands","Community",50,"Outstanding"
"Non-religious","Mixed",NA,"East Midlands","Academy",74,"Outstanding"
"Non-religious","Mixed",10.9,"East Midlands","Community",137,"Good"
"Non-religious","Mixed",NA,"East Midlands","Community",52,"Good"
"Non-religious","Mixed",19.6,"East Midlands","Community",56,"Outstanding"
"Non-religious","Mixed",11.8,"East Midlands","Community",286,"Good"
"Non-religious","Mixed",20.3,"East Midlands","Community",56,"Good"
"Non-religious","Mixed",22.5,"East Midlands","Academy",40,"Good"
"Non-religious","Mixed",15.3,"East Midlands","Community",124,"Good"
"Non-religious","Mixed",NA,"East Midlands","Community",58,"Good"
"Non-religious","Mixed",6.9,"East Midlands","Community",137,"Outstanding"
"Non-religious","Mixed",4,"East Midlands","Community",74,"Good"
"Religious","Mixed",27.5,"East of England","Academy",619,"Good"
"Non-religious","Mixed",27.9,"East of England","Community",421,"Good"
"Religious","Mixed",27.9,"East of England","Voluntary",349,"Good"
"Non-religious","Mixed",27.1,"East of England","Academy",871,"Requires Improvement"
"Non-religious","Mixed",27,"East of England","Foundation",1049,"Good"
"Non-religious","Mixed",26.9,"East of England","Community",653,"Good"
"Non-religious","Mixed",24.9,"East of England","Academy",812,"Requires Improvement"
"Non-religious","Mixed",28.3,"East of England","Academy",1533,"Requires Improvement"
"Religious","Mixed",27.8,"East of England","Academy",425,"Good"
"Non-religious","Mixed",27.8,"East of England","Community",1249,"Good"
"Non-religious","Mixed",27.8,"East of England","Academy",994,"Good"
"Religious","Mixed",27.5,"East of England","Academy",1381,"Requires Improvement"
"Non-religious","Mixed",27.8,"East of England","Academy",842,"Good"
"Religious","Mixed",26.9,"East of England","Academy",807,"Requires Improvement"
"Non-religious","Mixed",28.7,"East of England","Community",670,"Good"
"Religious","Mixed",23.5,"East of England","Voluntary",837,"Requires Improvement"
"Non-religious","Mixed",26.7,"East of England","Academy",1290,"Good"
"Religious","Mixed",25.9,"East of England","Foundation",623,"Inadequate"
"Non-religious","Mixed",27.3,"East of England","Academy",755,"Good"
"Non-religious","Mixed",26.7,"East of England","Academy",761,"Requires Improvement"
"Non-religious","Mixed",26.4,"East of England","Academy",586,"Requires Improvement"
"Non-religious","Mixed",27.8,"East of England","Community",620,"Requires Improvement"
"Non-religious","Mixed",27.8,"East of England","Community",585,"Good"
"Religious","Mixed",26.7,"East of England","Academy",1114,"Requires Improvement"
"Religious","Mixed",27.5,"East of England","Foundation",755,"Requires Improvement"
"Religious","Mixed",26.4,"East of England","Academy",576,"Good"
"Non-religious","Mixed",26.8,"East of England","Community",670,"Good"
"Non-religious","Mixed",26.8,"East of England","Academy",1175,"Good"
"Religious","Mixed",28.8,"East of England","Academy",1409,"Outstanding"
"Non-religious","Mixed",28.4,"East of England","Community",596,"Requires Improvement"
"Religious","Mixed",25.6,"East of England","Academy",611,"Good"
"Non-religious","Mixed",25.5,"East of England","Academy",654,"Outstanding"
"Non-religious","Mixed",25.9,"East of England","Academy",789,"Outstanding"
"Non-religious","Mixed",27.4,"East of England","Academy",991,"Good"
"Non-religious","Mixed",25.9,"East of England","Community",761,"Inadequate"
"Religious","Mixed",28.2,"East of England","Academy",755,"Good"
"Non-religious","Mixed",27.2,"East of England","Community",640,"Good"
"Religious","Mixed",27.4,"East of England","Academy",1671,"Good"
"Non-religious","Mixed",27.6,"East of England","Community",1375,"Requires Improvement"
"Non-religious","Mixed",27.5,"East of England","Academy",1163,"Good"
"Non-religious","Mixed",25.5,"East of England","Academy",1137,"Good"
"Non-religious","Mixed",27.8,"East of England","Community",1821,"Outstanding"
"Non-religious","Mixed",26.2,"East of England","Academy",638,"Good"
"Religious","Mixed",29.6,"East of England","Academy",1318,"Outstanding"
"Non-religious","Mixed",28.8,"East of England","Academy",1569,"Good"
"Non-religious","Mixed",NA,"East of England","Foundation",57,"Outstanding"
"Non-religious","Mixed",9.7,"East of England","Foundation",176,"Good"
"Non-religious","Mixed",4.9,"East of England","Foundation",97,"Outstanding"
"Non-religious","Single-sex",NA,"East of England","Academy",52,"Outstanding"
"Non-religious","Mixed",11.8,"East of England","Foundation",130,"Good"
"Non-religious","Mixed",3,"East of England","Foundation",79,"Good"
"Non-religious","Mixed",3,"East of England","Foundation",85,"Outstanding"
"Non-religious","Mixed",5.6,"East of England","Foundation",128,"Good"
"Non-religious","Mixed",8.8,"East of England","Foundation",163,"Outstanding"
"Non-religious","Mixed",5.6,"East of England","Foundation",99,"Good"
"Non-religious","Mixed",11.9,"East of England","Foundation",133,"Good"
"Non-religious","Mixed",26.5,"East Midlands","Academy",1280,"Requires Improvement"
"Religious","Mixed",29.6,"East Midlands","Academy",1426,"Outstanding"
"Non-religious","Mixed",28.9,"East Midlands","Academy",1168,"Outstanding"
"Non-religious","Mixed",28.4,"East Midlands","Academy",1354,"Good"
"Non-religious","Mixed",29.1,"East Midlands","Academy",1914,"Good"
"Non-religious","Mixed",28.4,"East Midlands","Academy",1080,"Good"
"Non-religious","Mixed",26.4,"East Midlands","Academy",1112,"Good"
"Religious","Mixed",NA,"East Midlands","Academy",225,"Outstanding"
"Non-religious","Mixed",25.6,"East Midlands","Other",171,"Requires Improvement"
"Religious","Mixed",26.4,"East Midlands","Academy",1305,"Inadequate"
"Religious","Mixed",27.1,"East Midlands","Academy",1392,"Outstanding"
"Non-religious","Mixed",28.2,"East Midlands","Academy",1158,"Good"
"Religious","Mixed",26.7,"East Midlands","Academy",964,"Good"
"Non-religious","Mixed",28.7,"East Midlands","Academy",1305,"Good"
"Non-religious","Mixed",26.7,"East Midlands","Academy",818,"Requires Improvement"
"Religious","Mixed",26.8,"East Midlands","Academy",1375,"Inadequate"
"Non-religious","Mixed",26.9,"East Midlands","Academy",1554,"Requires Improvement"
"Non-religious","Mixed",26.3,"East Midlands","Academy",1160,"Good"
"Religious","Mixed",25.8,"East Midlands","Academy",1131,"Requires Improvement"
"Religious","Mixed",27.8,"East Midlands","Foundation",1048,"Good"
"Religious","Mixed",26.8,"East Midlands","Academy",893,"Requires Improvement"
"Religious","Mixed",28.3,"East Midlands","Academy",1146,"Good"
"Religious","Mixed",24.8,"East Midlands","Academy",1295,"Inadequate"
"Religious","Mixed",26.1,"East Midlands","Academy",771,"Good"
"Non-religious","Mixed",27,"East Midlands","Academy",1051,"Good"
"Religious","Mixed",27.7,"East Midlands","Academy",1335,"Good"
"Religious","Mixed",25.9,"East Midlands","Academy",1364,"Good"
"Religious","Single-sex",29.5,"East Midlands","Academy",1508,"Outstanding"
"Religious","Single-sex",28.3,"East Midlands","Academy",1681,"Outstanding"
"Religious","Mixed",26.5,"East Midlands","Academy",697,"Inadequate"
"Non-religious","Mixed",27.9,"East Midlands","Community",827,"Requires Improvement"
"Non-religious","Mixed",26.5,"East Midlands","Academy",905,"Requires Improvement"
"Religious","Mixed",27.3,"East Midlands","Other",366,"Good"
"Religious","Mixed",26.9,"East Midlands","Academy",1127,"Outstanding"
"Religious","Single-sex",28,"East Midlands","Academy",1004,"Requires Improvement"
"Religious","Mixed",28.6,"East Midlands","Academy",1263,"Outstanding"
"Religious","Mixed",26,"East Midlands","Voluntary",826,"Requires Improvement"
"Religious","Mixed",26.3,"East Midlands","Academy",846,"Requires Improvement"
"Religious","Mixed",26.3,"East Midlands","Academy",1313,"Requires Improvement"
"Non-religious","Mixed",27.9,"East Midlands","Community",1384,"Good"
"Religious","Mixed",26.9,"East Midlands","Academy",1185,"Requires Improvement"
"Non-religious","Mixed",8.4,"East Midlands","Academy",207,"Outstanding"
"Non-religious","Mixed",13.5,"East Midlands","Academy",143,"Outstanding"
"Non-religious","Mixed",18.1,"East Midlands","Community",56,"Outstanding"
"Non-religious","Mixed",18.6,"East Midlands","Academy",93,"Outstanding"
"Non-religious","Mixed",13.7,"East Midlands","Academy",185,"Outstanding"
"Non-religious","Mixed",NA,"East Midlands","Community",57,"Outstanding"
"Religious","Mixed",26,"North East","Foundation",893,"Inadequate"
"Non-religious","Mixed",26.1,"North East","Community",574,"Requires Improvement"
"Religious","Mixed",26.7,"North East","Academy",1756,"Good"
"Non-religious","Mixed",26.2,"North East","Community",769,"Inadequate"
"Non-religious","Mixed",27.5,"North East","Academy",702,"Requires Improvement"
"Non-religious","Mixed",24.5,"North East","Academy",838,"Requires Improvement"
"Non-religious","Mixed",28.2,"North East","Academy",1997,"Inadequate"
"Non-religious","Mixed",27.4,"North East","Community",1109,"Good"
"Religious","Mixed",25.9,"North East","Foundation",561,"Inadequate"
"Non-religious","Mixed",26.3,"North East","Community",356,"Requires Improvement"
"Religious","Mixed",28.5,"North East","Academy",1478,"Outstanding"
"Religious","Mixed",25.1,"North East","Academy",2487,"Requires Improvement"
"Non-religious","Mixed",28.9,"North East","Community",1119,"Good"
"Non-religious","Mixed",28.1,"North East","Community",773,"Requires Improvement"
"Non-religious","Mixed",28.4,"North East","Community",1287,"Good"
"Non-religious","Single-sex",19.6,"North East","Community",56,"Good"
"Non-religious","Mixed",NA,"North East","Community",39,"Good"
"Non-religious","Mixed",14,"North East","Community",155,"Good"
"Non-religious","Mixed",12.2,"North East","Community",144,"Good"
"Non-religious","Mixed",12.6,"North East","Community",58,"Requires Improvement"
"Non-religious","Mixed",NA,"North East","Community",42,"Outstanding"
"Non-religious","Mixed",NA,"North East","Community",73,"Outstanding"
"Non-religious","Mixed",NA,"North East","Other",29,"Good"
"Religious","Mixed",26.8,"South East","Academy",994,"Requires Improvement"
"Non-religious","Mixed",28.5,"South East","Academy",1139,"Outstanding"
"Religious","Mixed",28.1,"South East","Academy",849,"Good"
"Non-religious","Mixed",27.9,"South East","Academy",1145,"Good"
"Non-religious","Mixed",26.2,"South East","Community",588,"Good"
"Non-religious","Mixed",27.5,"South East","Academy",1378,"Good"
"Non-religious","Mixed",28.4,"South East","Academy",1876,"Outstanding"
"Non-religious","Mixed",26.4,"South East","Community",516,"Good"
"Non-religious","Mixed",28.2,"South East","Academy",1034,"Good"
"Non-religious","Mixed",27.3,"South East","Academy",1294,"Good"
"Non-religious","Single-sex",27.8,"South East","Academy",1212,"Good"
"Non-religious","Mixed",NA,"South East","Academy",276,"Good"
"Non-religious","Mixed",28.1,"South East","Academy",1105,"Outstanding"
"Non-religious","Mixed",28,"South East","Community",570,"Requires Improvement"
"Non-religious","Mixed",28.5,"South East","Academy",805,"Good"
"Non-religious","Mixed",27.5,"South East","Academy",857,"Good"
"Non-religious","Mixed",27.5,"South East","Academy",1281,"Good"
"Non-religious","Mixed",NA,"South East","Academy",162,"Good"
"Non-religious","Mixed",28.2,"South East","Community",596,"Good"
"Non-religious","Mixed",28.3,"South East","Academy",956,"Good"
"Religious","Mixed",27.8,"South East","Academy",1860,"Outstanding"
"Non-religious","Mixed",27.6,"South East","Academy",576,"Good"
"Non-religious","Mixed",26.9,"South East","Community",822,"Good"
"Religious","Mixed",27.6,"South East","Academy",2086,"Outstanding"
"Religious","Mixed",27.7,"South East","Academy",1039,"Good"
"Non-religious","Mixed",25.7,"South East","Academy",991,"Good"
